2023-01-12 22:37:19,559 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq255, ack0, pkt_len1040
2023-01-12 22:37:19,559 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack25, pkt_len816
2023-01-12 22:37:19,576 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq301, ack0, pkt_len1040
2023-01-12 22:37:19,577 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack25, pkt_len996
2023-01-12 22:37:19,594 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq326, ack0, pkt_len1040
2023-01-12 22:37:19,594 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack25, pkt_len1040
2023-01-12 22:37:19,611 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq327, ack0, pkt_len1040
2023-01-12 22:37:19,611 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack25, pkt_len1040
2023-01-12 22:37:19,673 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq26, ack0, pkt_len1040
2023-01-12 22:37:19,673 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack26, pkt_len1040
2023-01-12 22:37:19,682 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq27, ack0, pkt_len1040
2023-01-12 22:37:19,682 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack27, pkt_len1040
2023-01-12 22:37:19,690 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq28, ack0, pkt_len1040
2023-01-12 22:37:19,690 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack28, pkt_len1040
2023-01-12 22:37:19,707 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq29, ack0, pkt_len1040
2023-01-12 22:37:19,707 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack29, pkt_len1040
2023-01-12 22:37:19,716 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq30, ack0, pkt_len1040
2023-01-12 22:37:19,716 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack30, pkt_len1040
2023-01-12 22:37:19,724 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq31, ack0, pkt_len1040
2023-01-12 22:37:19,724 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack31, pkt_len1040
2023-01-12 22:37:19,741 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq32, ack0, pkt_len1040
2023-01-12 22:37:19,741 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack32, pkt_len1040
2023-01-12 22:37:19,750 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq33, ack0, pkt_len1040
2023-01-12 22:37:19,750 -+- PEER10_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48006) via spiffy, seq0, ack33, pkt_len1040
2023-01-12 22:37:19,766 -+- PEER10_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48006) via spiffy, seq34, ack0, pkt_len1040
